id,name,name_cn,ISBN
456612,とりぴき,萌萌天狗降临了,"9784063958836"
456614,ナースコール 救急外来24時,,"9784873170831"
456615,恋愛ブーム!,,"9784408432571"
456616,嘘のキス甘い傷～禁断の恋～,,"9784790118022"
463636,つげ義春コレクション,柘植义春精选集,"9784480425409(套装)"
463667,キャバ嬢だけどJDに落とされました,我一个陪酒女竟被JD拿下了,"9784046833686"
463668,内田さんは絶対にギャルじゃない！,,"9784046833662"
465832,魔神館事件 夏と少女とサツリク風景,,"9784041004401"
465834,飛行艇時代,飞行艇时代,"9784499205955"
467875,百億の昼と千億の夜,,"9784150310004"
471383,後宮秘夜～覇帝と双花の寵妃～,,"9784796410380"
478668,カフヱーピウパリア,,"9784781624655"
480313,ひとの妻(おんな),人妻,"9784887747982"
482955,小説　アニメ　カードキャプターさくら　クロウカード編　上,,"9784061996595"
483465,焦がれる猫とトマト,朝思暮想的猫与番茄,"9784829686959"
489591,幻の小松左京＝モリ・ミノル漫画全集,,"9784091794215"
490401,少年リ一ダム～友情．努力．勝利の詩～,爆漫編輯,"9784107715005"
497074,偽りの錬金術妃は後宮の闇を解く,,"9784891999902"
497087,後宮の嫌われ白蛇妃～推し活をしていたら愛されちゃいました～,,"9784813713852"
504121,嘘から始まる恋の夏 -squall-,始于谎言的夏日恋情 -squall-,"9784758028660"
510264,褐色娘のラティーナさんに俺の体が狙われている,,"9784086315647"
516512,祓屋天霧の後継者 御曹司と天才祓師,,"9784041151105"
520106,(K)NIGHT&DAY 拾った逆トリップ騎士が“雄”になるまで,,"9784396704506"
531466,野蛮な憂鬱,,"9784886729613"
536000,東の空が白むころ,,"9784403623370"
537487,東方Project二次創作シリーズ 妖世刃弔華 わか思ふ地は ありやなしやと,妖世刃吊华,"9784049136432"
541273,リラの花咲くけものみち,,"9784334915414"
542481,もうデキるんだよ,,"9784866538631"
543664,あなたはかわいい人～脱力系アンニュイ女子、執着ワンコにとろとろに愛される～,,"9784396701581"
545037,王子はただいま出稼ぎ中,,"9784044550080"
552752,地味令嬢、しごでき皇妃になる！ 契約婚のはずなのに冷血皇帝に溺愛されています,,"9784041160626"
552755,聖王猊下は無能王女に殺されたい,,"9784041158753"
552757,絶華の契り 仮初め呪術師夫婦は後宮を駆ける,,"9784041158791"
553011,愛の刺青,爱的刺青,"9784046848833"
555670,嵐のデスティニィ,前世今生,"9784391913583"
571885,螺旋に回転する世界,螺旋回转的世界,"9784093797344"
575136,滅びの前のシャングリラ,毀滅前的香格里拉,"9784122074712"
575720,図説 アポカリプスホテル運営記録,,"9784801946125"
576396,円環のパラダイム,圆环的悖论,"9784758041188"
578255,神撃のバハムート  朽ちた黒龍の鱗,巴哈姆特之怒 腐朽的黑色龙鳞,"9784047298644"
578548,贋作遊戯,,"9784334075569"
578602,火のないところに煙は,神乐坂怪谈,"9784103500827"
584136,悪魔が町にやってくる恐怖！！ブタの町,,"9784850212912"
589701,Blue Sky,,"9784122025912"
602821,シャーヤッコ・ホームズ,,"9784061735330"
612757,メイド・マシンガン,女仆☆机关枪,"9784062136976"
613733,エデンノカケラ,伊甸园的碎片,"9784575943092"
618496,くくるくる,,"9784094512281"
623830,打倒ローマのやり直し ―最強の将ハンニバル、二度目の包囲殲滅陣―2,,"9784776797203"
632296,冬のプラネタリウム うらたじゅん作品集,,"9784892891410"
632847,猫爪月がのぼるころ,,"9784800010407"
632850,ぱパパぱ,,"9784800005809:"
636188,GHOST CONCERT 東京灰燼,,"9784040764122"
638783,暗闇の教室,,"9784152082398"
645906,ニンジャスレイヤー Age of Mappor-Calypse,忍者杀手 末法默示时代,"9784047384606"
646477,白い夏 : 上村一夫初期傑作短編集1970-1972,,"9784862255259"
654102,ファンタメロディコ・マエストロ,,"9784910052687"
660770,ニューゲームにチートはいらない！,重新开始游戏不需要作弊！,"9784797392357"
661807,花園とエゴイスト,,"9784048665865"
