id,name,name_cn
497749,仮面ライダーカブト 韮沢靖 ワームワークス GITAI,
498505,天地刼 神魔至尊傳 玄韜之卷,天地劫神魔至尊传 玄韬之卷
48903,@HOME,
49065,ブラックロッド シリーズ,
53873,妄想少年観測少女,妄想少年观测少女
54266,pop museum♪ ほんたにかなえ画集,
56208,フダンシズム-腐男子主義-,腐男子主义
57514,都立魔法学園,
70665,デビルメイクライ4 -Deadly Fortune-,鬼泣4：致命瞬间
73258,もえタイ,拳新出击
297822,ボーイズ・バッド・ロマンス! エクストラステージ,
303409,田村ゆかりフォトブック ゆかりりみっくす,
303413,ストロベリー日和,
303425,上坂すみれ写真集 UESAKA JAPAN! 諸国漫遊の巻,
305879,THE KING OF FIGHTERS XIV PREMIUM ART BOOK,拳皇14特典画集
306922,高橋葉介傑作集 Uボート・レディ,
310876,あんさんぶくぶスターズ!,
311588,宇野家の人びと,
508293,にゃんにゃん注意報,
508772,少女物語,
515774,バベル消滅,巴别塔消亡
519643,さかさ星,
66415,14歳の恋,14岁之恋
23453,Yuyi Illust works,
25365,かみちゃまかりんchu,花铃的魔法戒chu
25581,比马大战记,比马大战记
26372,フィラメント~漆原友紀作品集~,海与温柔眼神：漆原友纪作品集
27565,夏达短篇漫画集,夏达短篇漫画集
38047,藤子不二雄少年SF短編集,藤子不二雄少年SF短篇集
39902,プリズム,棱镜
337528,カナリヤは籠の中 (TSUKASA COMICS),
338618,ジャバウォッキー1914,恐龙之珠1914
340848,痴春期・フェチ校生,
341903,まーくり☆まにっしゅ,
341904,じゃみんぐしないで! -ブルマー狂騒曲-,
341906,無防備年齢宣言,
345329,Stargazing -ほし画集-,
349536,つめたい転校生,冰冷的转学生
349906,GETUP! GETLIVE! -ゲラゲラ-,
353800,岡田史子作品集1 赤い蔓草,
354676,カントク Publicity Visual book,
355722,義弟の『先っぽ』が奥に当たってる…ッ～イヤって言うけど抵抗しないの？,
356175,どっちに挿れる！？むちむちエッチな発情生活【完全版】,要插入哪边呢！？Q弹可口的肉欲发情生活(完全版)
360111,従姉ヴァレリア,
360188,愛の人 the loving man & some lovers suite,
32339,女神候補生,女神候补生
192849,The Marvelous Land of Oz,奥兹国仙境
192852,Dorothy and the Wizard in Oz,桃乐丝与奥兹国魔法师
197592,ジャイアントロボ（原作）,铁甲人
199584,ももえサイズ,
199975,心中BL,
203901,魔法使いは完全犯罪の夢を見るか?,
213923,香川 久×馬越嘉彦 バトルヒロイン作画&デザインテクニック,
363239,UESAKA JAPAN! すみれ見聞録,
371850,花のあるくらし,
371933,学級レディ チコちゃん!,
379511,カシオペア ドルチェ,
382174,ぺ道,
77124,神兵前傳1 巔峰終戰篇,神兵玄奇前传1 巅峰终战篇
78679,チョコレートガール,巧克力女孩
81247,性純乙女,
81816,八重樫南イラスト集 Molle,
84783,死びとの恋わずらい 完全版,至死不渝的爱 完全版
